product_id,name,category,brand,price,stock,rating
35,2TB SN850X,SSD,WD,154.99,17.0,4.8
36,Core Ultra 5 245K,CPU,Intel,304.08,19.0,4.3
37,27in 4K OLED 240Hz,Monitor,ASUS,928.7,4.0,4.7
38,G Pro X Superlight 2,Mouse,Logitech,153.56,21.0,4.8
39,64GB DDR5-6000 CL30,RAM,G.Skill,189.25,38.0,4.8
40,2TB SN850X,SSD,WD,158.05,24.0,4.7
41,27in 4K 144Hz,Monitor,LG,447.37,8.0,4.5
42,Ryzen 5 9600X,CPU,AMD,282.96,21.0,4.5
43,Core Ultra 7 265K,CPU,Intel,358.72,10.0,4.4
44,Ryzen 9 9950X,CPU,AMD,678.04,6.0,4.7
45,Lancool 216,Case,Lian Li,96.56,15.0,4.9
46,DeathAdder V3 Pro,Mouse,Razer,151.36,15.0,4.6
47,RM850x 850W Gold,PSU,Corsair,134.79,13.0,4.7
48,RM1000x 1000W Gold,PSU,Corsair,187.96,16.0,4.6
50,RTX 5090 32GB,GPU,NVIDIA,1939.67,3.0,4.8
51,RM1000x 1000W Gold,PSU,Corsair,182.77,12.0,4.9
52,Core Ultra 7 265K,CPU,Intel,347.6,19.0,4.6
53,Ryzen 7 7800X3D,CPU,AMD,407.29,13.0,4.7
54,Core Ultra 5 245K,CPU,Intel,336.36,24.0,4.3
55,Lancool 216,Case,Lian Li,99.77,27.0,4.9
56,RX 9070 XT 16GB,GPU,AMD,591.28,13.0,4.5
57,H6 Flow,Case,NZXT,116.9,22.0,4.7
58,G Pro X Superlight 2,Mouse,Logitech,163.1,21.0,4.6
59,64GB DDR5-6000 CL30,RAM,G.Skill,190.11,33.0,4.8
60,1TB KC3000,SSD,Kingston,75.74,36.0,4.5
61,27in 4K 144Hz,Monitor,LG,431.49,13.0,4.5
62,RX 7800 XT 16GB,GPU,AMD,445.66,10.0,4.8
63,X870E AORUS Master,Motherboard,Gigabyte,477.18,7.0,4.6
64,Arctis Nova Pro Wireless,Headset,SteelSeries,330.66,4.0,4.8
65,DeathAdder V3 Pro,Mouse,Razer,150.4,25.0,4.5
66,1TB KC3000,SSD,Kingston,77.48,31.0,4.6
67,2TB SN850X,SSD,WD,159.17,28.0,4.9
68,Ryzen 7 9700X,CPU,AMD,358.19,29.0,4.9
69,1TB KC3000,SSD,Kingston,77.48,31.0,4.6
70,B650 TUF Gaming Plus,Motherboard,ASUS,188.22,14.0,4.4
71,RX 9070 XT 16GB,GPU,AMD,595.54,10.0,4.6
72,27in 4K 144Hz,Monitor,LG,423.41,12.0,4.6
73,RTX 5090 32GB,GPU,NVIDIA,2105.33,3.0,4.7
74,  RTX 5090 32GB ,GPU, NVIDIA,2058.17,3.0,4.8
75,64GB DDR5-6000 CL30,RAM,G.Skill,184.69,24.0,4.8
76,1TB 990 EVO Plus,SSD,Samsung,90.05,26.0,4.8
77,Ryzen 7 7800X3D,CPU,AMD,380.42,12.0,4.8
78,Ryzen 7 9700X,CPU,AMD,352.8,15.0,4.9
79,RX 9070 XT 16GB,GPU,AMD,617.36,10.0,4.6
80,Ryzen 7 9700X,CPU,AMD,343.22,28.0,4.8
81,RTX 5070 12GB,GPU,NVIDIA,703.82,20.0,4.7
82,RTX 5070 12GB,GPU,NVIDIA,694.09,10.0,4.6
83,Ryzen 9 9950X,CPU,AMD,681.11,7.0,4.7
84,RTX 5090 32GB,GPU,NVIDIA,1964.87,4.0,5.0
85,ROG Zephyrus G14,Laptop,ASUS,1750.88,8.0,4.6
86,RX 9070 XT 16GB,GPU,AMD,634.28,12.0,4.8
87,Ryzen 5 9600X,CPU,AMD,269.22,35.0,4.7
88,RM850x 850W Gold,PSU,Corsair,145.07,24.0,4.8
89,2TB 990 PRO,SSD,Samsung,163.04,27.0,4.8
90,Ryzen 9 9950X,CPU,AMD,677.96,7.0,5.0
91,H6 Flow,Case,NZXT,117.83,24.0,4.8
92,16GB DDR5-5600,RAM,Kingston,47.13,56.0,4.3
94,X870E AORUS Master,Motherboard,Gigabyte,510.76,7.0,4.7
95,Ryzen 5 9600X,CPU,AMD,267.07,36.0,4.5
96,1TB 990 EVO Plus,SSD,Samsung,85.0,34.0,4.6
97,1TB KC3000,SSD,Kingston,79.38,46.0,4.4
98,DeathAdder V3 Pro,Mouse,Razer,144.41,12.0,4.6
99,27in 4K 144Hz,Monitor,LG,472.97,10.0,4.7
100,32GB DDR5-6000 CL30,RAM,Corsair,98.36,35.0,4.6
101,2TB KC3000,SSD,Kingston,142.06,30.0,4.5
102,2TB SN850X,SSD,WD,160.13,24.0,4.7
103,1TB SN850X,SSD,WD,95.61,22.0,4.8
104,B650 Tomahawk WiFi,Motherboard,MSI,194.03,21.0,4.8
105,2TB SN850X,SSD,WD,158.19,26.0,4.7
106,RX 9070 XT 16GB,GPU,AMD,595.54,10.0,4.6
107,H6 Flow,Case,NZXT,119.15,21.0,4.6
108,RX 9070 XT 16GB,GPU,AMD,611.43,8.0,4.7
109,ROG Zephyrus G14,Laptop,ASUS,1666.37,8.0,4.8
110,2TB SN850X,SSD,WD,154.7,16.0,4.6
111,32GB DDR5-6400,RAM,G.Skill,126.96,40.0,4.7
112,H6 Flow,Case,NZXT,118.76,21.0,4.5
113,  B650 Tomahawk WiFi ,Motherboard, MSI,189.86,13.0,4.8
114,Ryzen 7 9700X,CPU,AMD,45.23,27.0,4.9
115,RM1000x 1000W Gold,PSU,Corsair,183.58,16.0,4.8
116,H6 Flow,Case,NZXT,113.51,15.0,4.8
117,H6 Flow,Case,NZXT,114.71,18.0,4.6
118,G Pro X Superlight 2,Mouse,Logitech,161.82,28.0,4.9
120,G Pro X Superlight 2,Mouse,Logitech,158.95,16.0,4.9
121,Focus GX-750,PSU,Seasonic,106.81,19.0,4.7
122,27in 4K 144Hz,Monitor,LG,449.16,8.0,4.6
123,1TB SN850X,SSD,WD,91.96,25.0,4.9
124,Core Ultra 5 245K,CPU,Intel,306.1,15.0,4.5
125,  64GB DDR5-6000 CL30 ,RAM, G.Skill,170.58,29.0,4.8
126,RM850x 850W Gold,PSU,Corsair,132.64,24.0,4.7
127,Cloud III Wireless,Headset,HyperX,158.02,12.0,4.9
128,  DeathAdder V3 Pro ,Mouse, Razer,147.84,12.0,4.6
129,B650 Tomahawk WiFi,Motherboard,MSI,198.05,21.0,4.7
130,27in 4K OLED 240Hz,Monitor,ASUS,932.38,7.0,4.7
131,2TB 990 PRO,SSD,Samsung,168.68,15.0,4.8
133,ROG Zephyrus G14,Laptop,,1706.95,8.0,4.8
134,Ryzen 5 9600X,CPU,AMD,266.01,25.0,4.8
135,RX 7800 XT 16GB,GPU,AMD,444.63,13.0,4.5
136,1TB KC3000,SSD,Kingston,78.43,43.0,4.5
137,RM850x 850W Gold,PSU,Corsair,135.83,13.0,4.6
138,27in 4K OLED 240Hz,Monitor,ASUS,851.62,7.0,4.6
139,Core Ultra 7 265K,CPU,Intel,361.8,16.0,4.6
140,32GB DDR5-6400,RAM,G.Skill,115.66,23.0,4.5
141,RTX 5070 Ti 16GB,GPU,NVIDIA,747.61,8.0,4.9
142,H6 Flow,Case,NZXT,122.86,23.0,4.5
143,Arctis Nova Pro Wireless,Headset,SteelSeries,369.47,6.0,4.8
144,RX 9070 XT 16GB,GPU,AMD,633.45,7.0,4.5
145,2TB SN850X,SSD,WD,161.45,28.0,4.7
146,32GB DDR5-6000 CL30,RAM,Corsair,94.9,60.0,4.6
147,RTX 5090 32GB,GPU,NVIDIA,2047.32,4.0,4.9
148,RTX 5080 16GB,GPU,NVIDIA,1035.54,8.0,4.6
149,27in 4K OLED 240Hz,Monitor,ASUS,892.25,5.0,4.7
150,2TB KC3000,SSD,Kingston,131.8,25.0,4.6
151,RM1000x 1000W Gold,PSU,Corsair,200.5,14.0,4.9
152,RTX 5070 12GB,GPU,NVIDIA,694.57,19.0,4.8
153,2TB 990 PRO,SSD,Samsung,172.35,30.0,4.9
154,H6 Flow,Case,NZXT,119.06,22.0,4.5
155,32GB DDR5-6400,RAM,G.Skill,124.75,25.0,4.8
156,32GB DDR5-6400,RAM,G.Skill,123.6,39.0,4.7
157,2TB KC3000,SSD,Kingston,132.07,33.0,4.5
158,64GB DDR5-6000 CL30,RAM,G.Skill,176.85,26.0,4.7
159,Arctis Nova Pro Wireless,Headset,SteelSeries,358.44,4.0,4.6
160,32GB DDR5-6000 CL30,RAM,,95.02,61.0,4.5
161,32GB DDR5-6400,RAM,,122.73,41.0,4.6
162,Ryzen 5 9600X,CPU,AMD,266.32,21.0,4.7
163,2TB SN850X,SSD,WD,163.14,19.0,4.8
164,B650 TUF Gaming Plus,Motherboard,ASUS,178.38,12.0,4.4
165,H6 Flow,Case,NZXT,116.69,15.0,4.5
166,32GB DDR5-6000 CL30,RAM,Corsair,97.78,62.0,4.7
167,RX 7800 XT 16GB,GPU,AMD,452.59,17.0,4.6
168,Cloud III Wireless,Headset,HyperX,158.57,19.0,4.7
170,2TB SN850X,SSD,WD,150.66,22.0,4.7
171,Ryzen 7 7800X3D,CPU,AMD,402.55,14.0,4.7
172,Lancool 216,Case,Lian Li,95.22,13.0,4.7
173,North,Case,Fractal Design,138.99,11.0,4.6
174,North,Case,Fractal Design,133.51,10.0,4.7
175,DeathAdder V3 Pro,Mouse,Razer,152.32,12.0,4.5
176,DeathAdder V3 Pro,Mouse,Razer,158.07,13.0,4.5
177,G Pro X Superlight 2,Mouse,Logitech,165.07,23.0,4.8
178,16GB DDR5-5600,RAM,Kingston,51.64,67.0,4.5
180,ROG Zephyrus G14,Laptop,ASUS,1610.28,9.0,4.6
181,64GB DDR5-6000 CL30,RAM,G.Skill,182.7,26.0,4.6
182,32GB DDR5-6400,RAM,G.Skill,115.29,25.0,4.5
183,Focus GX-750,PSU,Seasonic,112.49,23.0,4.5
184,1TB SN850X,SSD,WD,97.35,33.0,4.7
185,16GB DDR5-5600,RAM,Kingston,52.53,90.0,4.4
186,32GB DDR5-6000 CL30,RAM,Corsair,99.09,54.0,4.6
187,2TB 990 PRO,SSD,Samsung,176.65,16.0,4.7
188,2TB SN850X,SSD,WD,161.81,26.0,4.9
189,Focus GX-750,PSU,Seasonic,105.03,26.0,4.7
190,2TB 990 PRO,SSD,Samsung,170.0,23.0,4.7
191,Ryzen 9 9950X,CPU,AMD,680.36,10.0,4.9
192,Ryzen 5 9600X,CPU,AMD,266.26,35.0,4.8
193,DeathAdder V3 Pro,Mouse,Razer,151.56,12.0,4.7
194,  2TB 990 PRO ,SSD, Samsung,171.55,28.0,4.7
195,27in 4K 144Hz,Monitor,LG,458.17,12.0,4.5
196,Cloud III Wireless,Headset,HyperX,148.84,23.0,4.9
